top - 09:30:52 up 2 days, 17:21,  1 user,  load average: 0,08, 0,27, 0,39
Tarefas: 264 total,   1 em exec., 216 dormindo,   0 parado,   0 zumbi
%CPU(s):  5,5 us,  2,0 sis,  0,4 ni, 91,8 oc,  0,3 ag,  0,0 ih,  0,1 is  0,0 tr
KB mem :  5986548 total,   794320 livre,  2676912 usados,  2515316 buff/cache
KB swap:  2097148 total,  2093564 livre,     3584 usados,  2785580 mem dispon.

  PID USUARIO   PR  NI    VIRT    RES    SHR S  %CPU %MEM    TEMPO+ COMANDO
 3004 mateus    20   0 1431604 118828  43104 S  17,6  2,0   0:39.86 nautilus
 1106 root      20   0  639088  89036  70940 S  11,8  1,5   3:42.83 Xorg
17395 mateus    20   0 1990368 358420 129588 S   5,9  6,0   1:18.34 qtcreator
20193 mateus    20   0   44336   4140   3464 R   5,9  0,1   0:00.02 top
    1 root      20   0  225872   9676   6736 S   0,0  0,2   0:03.78 systemd
    2 root      20   0       0      0      0 S   0,0  0,0   0:00.00 kthreadd
    3 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 rcu_gp
    4 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 rcu_par_gp
    6 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 kworker/0:+
    8 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 mm_percpu_+
    9 root      20   0       0      0      0 S   0,0  0,0   0:01.01 ksoftirqd/0
   10 root      20   0       0      0      0 I   0,0  0,0   0:05.82 rcu_sched
   11 root      rt   0       0      0      0 S   0,0  0,0   0:00.11 migration/0
   12 root     -51   0       0      0      0 S   0,0  0,0   0:00.00 idle_injec+
   14 root      20   0       0      0      0 S   0,0  0,0   0:00.00 cpuhp/0
   15 root      20   0       0      0      0 S   0,0  0,0   0:00.00 cpuhp/1
   16 root     -51   0       0      0      0 S   0,0  0,0   0:00.00 idle_injec+
   17 root      rt   0       0      0      0 S   0,0  0,0   0:00.23 migration/1
   18 root      20   0       0      0      0 S   0,0  0,0   0:00.76 ksoftirqd/1
   20 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 kworker/1:+
   21 root      20   0       0      0      0 S   0,0  0,0   0:00.00 kdevtmpfs
   22 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 netns
   23 root      20   0       0      0      0 S   0,0  0,0   0:00.00 rcu_tasks_+
   24 root      20   0       0      0      0 S   0,0  0,0   0:00.00 kauditd
   26 root      20   0       0      0      0 S   0,0  0,0   0:00.02 khungtaskd
   27 root      20   0       0      0      0 S   0,0  0,0   0:00.00 oom_reaper
   28 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 writeback
   29 root      20   0       0      0      0 S   0,0  0,0   0:00.00 kcompactd0
   30 root      25   5       0      0      0 S   0,0  0,0   0:00.00 ksmd
   31 root      39  19       0      0      0 S   0,0  0,0   0:00.00 khugepaged
   77 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 kintegrityd
   78 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 kblockd
   79 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 blkcg_punt+
   80 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 tpm_dev_wq
   81 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 ata_sff
   82 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 md
   83 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 edac-poller
   84 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 devfreq_wq
   85 root      rt   0       0      0      0 S   0,0  0,0   0:00.00 watchdogd
   88 root      20   0       0      0      0 S   0,0  0,0   0:01.95 kswapd0
   89 root      20   0       0      0      0 S   0,0  0,0   0:00.00 ecryptfs-k+
   91 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 kthrotld
   92 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 acpi_therm+
   93 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 vfio-irqfd+
   96 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 ipv6_addrc+
  105 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 kstrp
  108 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 kworker/u1+
  121 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 charger_ma+
  161 root      20   0       0      0      0 S   0,0  0,0   0:00.00 scsi_eh_0
  162 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 scsi_tmf_0
  163 root      20   0       0      0      0 S   0,0  0,0   0:00.00 scsi_eh_1
  164 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 scsi_tmf_1
  165 root      20   0       0      0      0 S   0,0  0,0   0:00.00 scsi_eh_2
  166 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 scsi_tmf_2
  167 root      20   0       0      0      0 S   0,0  0,0   0:00.00 scsi_eh_3
  168 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 scsi_tmf_3
  169 root      20   0       0      0      0 S   0,0  0,0   0:00.00 scsi_eh_4
  170 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 scsi_tmf_4
  171 root      20   0       0      0      0 S   0,0  0,0   0:00.00 scsi_eh_5
  172 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 scsi_tmf_5
  178 root       0 -20       0      0      0 I   0,0  0,0   0:00.94 kworker/0:+
  211 root       0 -20       0      0      0 I   0,0  0,0   0:00.64 kworker/1:+
  212 root      20   0       0      0      0 S   0,0  0,0   0:01.12 jbd2/sda1-8
  213 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 ext4-rsv-c+
  248 root      19  -1  136200  17812  16692 S   0,0  0,3   0:01.55 systemd-jo+
  277 root      20   0   47456   5524   3140 S   0,0  0,1   0:00.94 systemd-ud+
  280 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 loop0
  282 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 loop1
  284 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 loop2
  287 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 loop3
  289 root       0 -20       0      0      0 S   0,0  0,0   0:00.01 loop4
  290 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 loop5
  292 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 loop6
  294 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 loop7
  300 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 loop8
  303 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 loop9
  305 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 loop10
  308 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 loop11
  309 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 loop12
  311 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 loop13
  325 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 loop14
  331 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 loop15
  333 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 loop16
  334 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 loop17
  335 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 loop18
  368 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 loop19
  383 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 loop20
  385 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 loop21
  410 root       0 -20       0      0      0 S   0,0  0,0   0:00.03 loop22
  528 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 cfg80211
  530 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 cryptd
  574 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 kmemstick
  768 systemd+  20   0  146132   3324   2764 S   0,0  0,1   0:00.10 systemd-ti+
  769 systemd+  20   0   71168   6540   5464 S   0,0  0,1   0:00.62 systemd-re+
  825 root      20   0    4548    784    724 S   0,0  0,0   0:00.89 acpid
  826 root      20   0   31324   3132   2848 S   0,0  0,1   0:00.06 cron
  830 root      20   0  110476   3672   3312 S   0,0  0,1   0:01.46 irqbalance
  837 root      20   0  170872  17036   9040 S   0,0  0,3   0:00.12 networkd-d+
  838 root      20   0  179872   9388   8584 S   0,0  0,2   0:01.53 thermald
  865 avahi     20   0   47260   3216   2876 S   0,0  0,1   0:00.33 avahi-daem+
  866 root      20   0  434324   9496   8080 S   0,0  0,2   0:00.13 ModemManag+
  882 root      20   0  288136   7404   6420 S   0,0  0,1   0:00.66 accounts-d+
  893 message+  20   0   51712   6160   3928 S   0,0  0,1   0:04.84 dbus-daemon
  907 avahi     20   0   47076    340      0 S   0,0  0,0   0:00.00 avahi-daem+
